NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT05983965,Study of Tazemetostat in Lymphoid Malignancies,https://clinicaltrials.gov/study/NCT05983965,RECRUITING,T-cell Lymphoma,DRUG: Tazemetostat,University of Alabama at Birmingham,,INTERVENTIONAL
NCT05442554,A Study of Brentuximab Vedotin Treatment in Chinese Adults With CD30-Positive Cutaneous T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT05442554,COMPLETED,T-Cell Lymphoma,DRUG: Brentuximab vedotin,Takeda,,INTERVENTIONAL
NCT06534060,MB-105 in Patients With CD5 Positive T-cell Lymphoma,https://clinicaltrials.gov/study/NCT06534060,RECRUITING,"Lymphoma, T-Cell",BIOLOGICAL: Genetic: MB-105,March Biosciences Inc,,INTERVENTIONAL
NCT04928105,Senl-T7 CAR-T Cells for Treatment of Relapsed or Refractory CD7+ Lymphoma,https://clinicaltrials.gov/study/NCT04928105,UNKNOWN,"Lymphoma, T-Cell",BIOLOGICAL: Senl-T7,"Hebei Senlang Biotechnology Inc., Ltd.",,INTERVENTIONAL
NCT04334174,Study of Brentuximab Vedotin as Therapy After Autologous Stem Cell Transplant in Cluster of Differentiation Antigen 30 (CD30) Positive Peripheral TCell Lymphomas,https://clinicaltrials.gov/study/NCT04334174,WITHDRAWN,T Cell Lymphoma,DRUG: Brentuximab Vedotin,University of Kansas Medical Center,Seagen Inc.,INTERVENTIONAL
NCT05075460,"Tucidinostat, Azacitidine Combined With CHOP Versus CHOP in Patients With Untreated Peripheral T-cell Lymphoma",https://clinicaltrials.gov/study/NCT05075460,RECRUITING,T-cell Lymphoma,"DRUG: Tucidinostat, Azacitidine combined with CHOP",Peking Union Medical College Hospital,,INTERVENTIONAL
NCT04712864,Study of CD4-Targeted Chimeric Antigen Receptor T-Cells (CD4- CAR-T) in Subjects With Relapsed or Refractory T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT04712864,ACTIVE_NOT_RECRUITING,T-Cell Lymphoma|Peripheral T-Cell Lymphoma Refractory|Cutaneous T-Cell Lymphoma Refractory|Cutaneous T-Cell Lymphoma Recurrent|Peripheral T-Cell Lymphoma Recurrent,BIOLOGICAL: LB1901,Legend Biotech USA Inc,,INTERVENTIONAL
NCT03952078,A Dose Escalation Study Evaluating CPI-818 in Relapsed/Refractory T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT03952078,ACTIVE_NOT_RECRUITING,T-cell Lymphoma,DRUG: CPI-818,"Corvus Pharmaceuticals, Inc.",,INTERVENTIONAL
NCT06362148,Circulating Tumor DNA in Peripheral T-cell Lymphomas,https://clinicaltrials.gov/study/NCT06362148,RECRUITING,Peripheral T-cell Lymphoma|NK/T-Cell Lymphoma,"DIAGNOSTIC_TEST: Tumor- and plasma-informed, next-generation sequencing (NGS)-based patient-specific droplet digital (dd)PCR assay|DIAGNOSTIC_TEST: 18F-fludeoxyglucose positron emission tomography/computed tomography (FDG-PET/CT)",University of Aarhus,Aarhus University Hospital,OBSERVATIONAL
NCT03770000,Safety and Efficacy of Tenalisib (RP6530) in Combination With Romidepsin in Patients With Relapsed/Refractory T-cell Lymphoma,https://clinicaltrials.gov/study/NCT03770000,COMPLETED,T Cell Lymphoma,DRUG: Tenalisib|DRUG: Romidepsin,Rhizen Pharmaceuticals SA,,INTERVENTIONAL
NCT00161239,LAMPP Trial for Peripheral and Cutaneous T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT00161239,TERMINATED,T-Cell Lymphoma,"DRUG: Doxil, Methotrexate, L-Asparaginase, Prednisone",University of Medicine and Dentistry of New Jersey,"Ortho Biotech, Inc.",INTERVENTIONAL
NCT02274584,CAR T Cells Targeting CD30 Positive Lymphomas (4SCAR30273),https://clinicaltrials.gov/study/NCT02274584,UNKNOWN,Lymphomas,GENETIC: Anti-CD30 CAR T cells,Peking University,University of Florida,INTERVENTIONAL
NCT01561833,A Pilot Study of Sorafenib Examining Biomarkers in Refractory or Relapsed T-Cell Lymphoma Patients,https://clinicaltrials.gov/study/NCT01561833,COMPLETED,T Cell Lymphoma,DRUG: Sorafenib,Yale University,,INTERVENTIONAL
NCT02676778,Study of E7777 in Patients With Relapsed or Refractory Peripheral T-cell Lymphoma and Cutaneous T-cell Lymphoma,https://clinicaltrials.gov/study/NCT02676778,COMPLETED,Peripheral T-cell Lymphoma|Cutaneous T-cell Lymphoma,DRUG: E7777,"Eisai Co., Ltd.",,INTERVENTIONAL
NCT03207789,T-cell Brazil: Prospective Collection of Data in T-cell Lymphomas Patients,https://clinicaltrials.gov/study/NCT03207789,UNKNOWN,T-cell Lymphoma|NK-Cell Lymphoma|T-cell Lymphoma Adults,,Grupo de Estudos Multicentricos em Onco-Hematologia,Takeda,OBSERVATIONAL
NCT00959686,Bendamustine in Patients With Refractory or Relapsed T-cell Lymphoma,https://clinicaltrials.gov/study/NCT00959686,COMPLETED,T-cell Lymphoma,DRUG: Bendamustine,French Innovative Leukemia Organisation,Mundipharma Pte Ltd.,INTERVENTIONAL
NCT05137847,A Study of Remitoro in Participants With Recurrent or Refractory Peripheral T Cell Lymphoma and Cutaneous T Cell Lymphoma (All Case Study),https://clinicaltrials.gov/study/NCT05137847,COMPLETED,"Lymphoma, T-cell, Peripheral|Lymphoma, T-cell, Cutaneous",DRUG: Remitoro,Eisai Inc.,,OBSERVATIONAL
NCT00798096,Efficacy and Safety Study of Fostamatinib Disodium Tablets to Treat T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT00798096,COMPLETED,T Cell Lymphoma,DRUG: Fostamatinib Disodium,Rigel Pharmaceuticals,,INTERVENTIONAL
NCT04973527,LCAR-T2C CAR-T Cells in Relapsed or Refractory CD4+ T Lymphocyte Tumor,https://clinicaltrials.gov/study/NCT04973527,TERMINATED,T Cell Lymphoma|T-cell Leukemia,DRUG: Efficacy of LCAR-T2C CAR-T cells,Beijing Boren Hospital,Nanjing Legend Biotech Co.,INTERVENTIONAL
NCT03552692,Use of Venetoclax as Single Agent in Patients With Relapsed/Refractory BCL-2 Positive Peripheral T Cell Lymphoma,https://clinicaltrials.gov/study/NCT03552692,TERMINATED,T-Cell Lymphoma Relapsed|T-Cell Lymphoma Refractory,DRUG: Venetoclax,Fondazione Italiana Linfomi - ETS,,INTERVENTIONAL
NCT06035497,"A Study to Assess the Safety, Tolerability, Efficacy, and Drug Levels of BMS-986369 (Golcadomide) in Participants With Relapsed or Refractory T-cell Lymphomas in Japan (GOLSEEK-3)",https://clinicaltrials.gov/study/NCT06035497,RECRUITING,Relapsed or Refractory T-cell Lymphomas,DRUG: BMS-986369,Bristol-Myers Squibb,,INTERVENTIONAL
NCT04045470,A Pilot of a Microdevice For In Situ Candidate Drug Screening in Cutaneous Lesions of T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT04045470,RECRUITING,Cutaneous T Cell Lymphoma|Peripheral T Cell Lymphoma,DEVICE: Microdevices|OTHER: Standard of care therapy|OTHER: Standard of care systemic therapy,Dana-Farber Cancer Institute,,INTERVENTIONAL
NCT06692452,Tazemetostat Plus CHOP in 1L T-cell Lymphoma,https://clinicaltrials.gov/study/NCT06692452,RECRUITING,Lymphoma|Peripheral T Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Enteropathy-Associated T-Cell Lymphoma|Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma,DRUG: Tazemetostat|DRUG: Doxorubicin|DRUG: Vincristine|DRUG: Prednisone|DRUG: Cytoxan|DRUG: Carmustine|DRUG: Etoposide|DRUG: Cytarabine|DRUG: Melphalan,"Eric Jacobsen, MD",Ipsen,INTERVENTIONAL
NCT00974324,Endostar Combined With CHOP Regimen as First Line Chemotherapy for Peripheral T Cell Lymphoma,https://clinicaltrials.gov/study/NCT00974324,UNKNOWN,T Cell Lymphoma,DRUG: endostar and CHOP,Fudan University,,INTERVENTIONAL
NCT04162340,CD4-specific CAR T Cells (CD4 CAR T Cells) for Relapsed/Refractory T Cell Malignancies,https://clinicaltrials.gov/study/NCT04162340,UNKNOWN,T Cell Lymphoma in Relapse|Refractory T-Cell Lymphoma,BIOLOGICAL: CD4 CAR T cells,iCell Gene Therapeutics,iCAR Bio Therapeutics Ltd.|Peking University Shenzhen Hospital,INTERVENTIONAL
NCT02424045,"Bendamustine, Carboplatin and Dexamethasone (BCD) for Refractory or Relapsed Peripheral T-cell Lymphoma",https://clinicaltrials.gov/study/NCT02424045,COMPLETED,T-cell Lymphoma,"DRUG: BCD chemotherapy (Bendamustine, Carboplatin, Dexamethasone)",Samsung Medical Center,,INTERVENTIONAL
NCT01430013,Trial of Endostar Combined With CHOPT for T Cell Lymphoma,https://clinicaltrials.gov/study/NCT01430013,UNKNOWN,T Cell Lymphoma,DRUG: Endostar and CHOPT,Tianjin Medical University Cancer Institute and Hospital,"Simcere Pharmaceutical Co., Ltd",INTERVENTIONAL
NCT01553786,Efficacy of a Treatment With CHOP and Lenalidomide in First Line in Angioimmunoblastic T-cell Lymphoma (AITL),https://clinicaltrials.gov/study/NCT01553786,COMPLETED,T-cell Lymphoma,DRUG: Lenalidomide,The Lymphoma Academic Research Organisation,,INTERVENTIONAL
NCT04233697,Copanlisib in Combination With Romidepsin in Patients With Relapsed or Refractory Mature T-cell Lymphoma,https://clinicaltrials.gov/study/NCT04233697,WITHDRAWN,"Lymphoma, T-Cell",DRUG: Copanlisib|DRUG: Romidepsin,Columbia University,Bayer,INTERVENTIONAL
NCT04264078,Anti-CD7 U-CAR-T Cell Therapy for T/NK Cell Hematologic Malignancies,https://clinicaltrials.gov/study/NCT04264078,UNKNOWN,T-cell Leukemia|T-cell Lymphoma,BIOLOGICAL: CD7 UCAR-T cells|DRUG: Fludarabine|DRUG: Cytoxan|DRUG: Melphalan,Xinqiao Hospital of Chongqing,"Gracell Biotechnologies (Shanghai) Co., Ltd.|920th Hospital of Joint Logistics Support Force of People's Liberation Army of China|The Second Affiliated Hospital of Chongqing Medical University|The Affiliated Hospital Of Guizhou Medical University|Central South University|First Affiliated Hospital of Kunming Medical University|The General Hospital of Western Theater Command|Second Affiliated Hospital of Xi'an Jiaotong University|Nanfang Hospital, Southern Medical University|Fujian Medical University Union Hospital|The First Affiliated Hospital of Anhui Medical University|Tang-Du Hospital",INTERVENTIONAL
NCT00322985,A Phase II Clinical Trial of Lenalidomide for T-cell Non-Hodgkin's Lymphoma,https://clinicaltrials.gov/study/NCT00322985,COMPLETED,T-cell Lymphoma,DRUG: Lenalidomide,AHS Cancer Control Alberta,Celgene Corporation|Alberta Cancer Foundation,INTERVENTIONAL
NCT05772728,Chidamide Combined With Azacitidine and Mitoxantrone Liposome in the Treatment of Relapsed/Refractory (nTFHL),https://clinicaltrials.gov/study/NCT05772728,UNKNOWN,T Cell Lymphoma,DRUG: Cidapenem combined with azacitidine and mitoxantrone liposome (CAM) regimen,The First Affiliated Hospital with Nanjing Medical University,,INTERVENTIONAL
NCT03829540,CD4CAR for CD4+ Leukemia and Lymphoma,https://clinicaltrials.gov/study/NCT03829540,RECRUITING,T-cell Lymphoma|T-cell Leukemia,BIOLOGICAL: CD4CAR,Huda Salman,iCell Gene Therapeutics,INTERVENTIONAL
NCT03703375,Efficacy and Safety of Oral Azacitidine (CC-486) Compared to Investigator's Choice Therapy in Patients With Relapsed or Refractory Angioimmunoblastic T Cell Lymphoma,https://clinicaltrials.gov/study/NCT03703375,ACTIVE_NOT_RECRUITING,"Lymphoma, T-Cell",DRUG: Azacitidine|DRUG: Romidepsin|DRUG: Gemcitabine,Celgene,,INTERVENTIONAL
NCT06151106,Chidamide and Duvalisibon for the Treatment of Refractory/Relapsed Peripheral T-cell Lymphoma,https://clinicaltrials.gov/study/NCT06151106,RECRUITING,Peripheral T Cell Lymphoma|Relapsed Peripheral T-Cell Lymphoma|Refractory T-Cell Lymphoma,DRUG: Chidamide combined with Duvillisib,The First Affiliated Hospital of Xiamen University,Fujian Cancer Hospital|Zhangzhou Affiliated Hospital of Fujian Medical University|Dongguan People's Hospital|Huizhou Municipal Central Hospital|The First Affiliated Hospital with Nanjing Medical University|Sun Yat-sen University|Shanxi Province Cancer Hospital,INTERVENTIONAL
NCT03046953,Avelumab in Relapsed and Refractory Peripheral T-cell Lymphoma,https://clinicaltrials.gov/study/NCT03046953,COMPLETED,T-Cell Lymphoma Relapsed|T-Cell Lymphoma Refractory,DRUG: Avelumab,University of Birmingham,Bloodwise|Pfizer,INTERVENTIONAL
NCT02588651,A Phase II Study of Single Agent Brentuximab Vedotin in Relapsed/Refractory CD30 Low (<10%) Mature T Cell Lymphoma (TCL),https://clinicaltrials.gov/study/NCT02588651,COMPLETED,T-cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Hepato-splenic T-cell Lymphoma|Adult T-cell Leukemia/Lymphoma|Enteropathy Associated T-cell Lymphoma|NK T-cell Lymphoma,DRUG: Brentuximab vedotin,Deepa Jagadeesh,,INTERVENTIONAL
NCT04251065,"Daratumumab Plus Gemcitabine, Dexamethasone, Cisplatin in pt R/R CD38+ PTCL-NOS, AITL and TFH",https://clinicaltrials.gov/study/NCT04251065,TERMINATED,Refractory T-Cell Lymphoma|Relapsed T-Cell Lymphoma,DRUG: Daratumumab,Fondazione Italiana Linfomi - ETS,,INTERVENTIONAL
NCT00877656,HuMax-CD4 in Non-Cutaneous T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT00877656,COMPLETED,T Cell Lymphoma,BIOLOGICAL: HuMax-CD4,Emergent BioSolutions,,INTERVENTIONAL
NCT03672084,Allo-HSCT as First-line Consolidation in High-risk PTCL,https://clinicaltrials.gov/study/NCT03672084,UNKNOWN,T Cell Lymphoma,,Peking University People's Hospital,,OBSERVATIONAL
NCT02158975,"Open-label, Phase II Study of MLN9708 in Patients With Relapsed/Refractory Cutaneous and Peripheral T-cell Lymphomas",https://clinicaltrials.gov/study/NCT02158975,COMPLETED,"Lymphoma, T-Cell",DRUG: MLN9708,University of Michigan Rogel Cancer Center,,INTERVENTIONAL
NCT04425070,A Study of Evaluating the Safety and Efficacy of ATG-010 Combined With Chemotherapy Sequential With ATG-010 Monotherapy Maintenance in Peripheral T- and NK/T-cell Lymphoma,https://clinicaltrials.gov/study/NCT04425070,ACTIVE_NOT_RECRUITING,Peripheral T-cell Lymphoma|NK/T-cell Lymphoma,COMBINATION_PRODUCT: ICE [ifosfamide+carboplatin+etoposide]|COMBINATION_PRODUCT: GEMOX [gemcitabine+oxaliplatin]|COMBINATION_PRODUCT: Tislelizumab,Antengene Corporation,,INTERVENTIONAL
NCT00893516,CD4 in Combination With CHOP in Treating Non-cutaneous Peripheral TCell Lymphoma,https://clinicaltrials.gov/study/NCT00893516,TERMINATED,T-cell Lymphoma,BIOLOGICAL: CHOP + CD4|DRUG: CHOP,Emergent BioSolutions,,INTERVENTIONAL
NCT00418535,Clinical Study of Chemoradiation Followed by VIPD in Nasal Natural Killer (NK)/T-cell Lymphoma,https://clinicaltrials.gov/study/NCT00418535,COMPLETED,"Lymphoma, T-Cell","DRUG: Concurrent Radiotherapy (RT)/cisplatin, VIPD",Samsung Medical Center,Korea University Anam Hospital|Asan Medical Center|Gyeongsang National University Hospital,INTERVENTIONAL
NCT05773040,A Phase 1 Study of JV-213 Autologous CD79b-targeting Chimeric Antigen Receptor T-cell Therapy in Adults With Relapsed or Refractory B-cell Lymphomas,https://clinicaltrials.gov/study/NCT05773040,RECRUITING,Lymphomas|B-cell Lymphomas,DRUG: JV-213|PROCEDURE: Leukapheresis,M.D. Anderson Cancer Center,,INTERVENTIONAL
NCT00007345,Depsipeptide to Treat Patients With Cutaneous T-Cell Lymphoma and Peripheral T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT00007345,COMPLETED,Cutaneous T Cell Lymphoma|Peripheral T Cell Lymphoma,DRUG: Romidepsin,National Cancer Institute (NCI),,INTERVENTIONAL
NCT01854112,Helical Irradiation of Total Skin (HITS) for T Cell Lymphoma,https://clinicaltrials.gov/study/NCT01854112,UNKNOWN,T-cell Lymphoma,,Far Eastern Memorial Hospital,,OBSERVATIONAL
NCT06699771,"Phase 1 to Investigate the Safety, Tolerability, and Efficacy of GCC2005 in Patients With R/R NK and T-cell Malignancies",https://clinicaltrials.gov/study/NCT06699771,RECRUITING,"Lymphoma, T-Cell",DRUG: GCC2005|DRUG: Cyclophosphamide|DRUG: Fludarabine,GC Cell Corporation,"Artiva Biotherapeutics, Inc.",INTERVENTIONAL
NCT02341014,"Combination Therapy With Carfilzomib, Romidepsin, Lenalidomide in Patients With Relapsed or Refractory B- and T-cell Lymphomas",https://clinicaltrials.gov/study/NCT02341014,COMPLETED,T-cell Lymphomas|Relapsed or Refractory,DRUG: Carfilzomib|DRUG: Romidepsin|DRUG: Lenalidomide,Memorial Sloan Kettering Cancer Center,University of Nebraska,INTERVENTIONAL
